State/UT,Confirmed,Recovered,Deaths,report_date
149,Delhi,7,2,1,2020-03-15
150,Haryana,14,0,0,2020-03-15
151,Karnataka,6,0,1,2020-03-15
152,Kerala,22,3,0,2020-03-15
153,Maharashtra,32,0,0,2020-03-15
154,Punjab,1,0,0,2020-03-15
155,Rajasthan,4,3,0,2020-03-15
156,Tamil Nadu,1,0,0,2020-03-15
157,Telengana,3,1,0,2020-03-15
158,Jammu and Kashmir,2,0,0,2020-03-15
159,Ladakh,3,0,0,2020-03-15
160,Uttar Pradesh,13,4,0,2020-03-15
161,Uttarakhand,1,0,0,2020-03-15
162,Andhra Pradesh,1,0,0,2020-03-16
163,Delhi,7,2,1,2020-03-16
164,Haryana,14,0,0,2020-03-16
165,Karnataka,6,0,1,2020-03-16
166,Kerala,23,3,0,2020-03-16
167,Maharashtra,32,0,0,2020-03-16
168,Odisha,1,0,0,2020-03-16
169,Punjab,1,0,0,2020-03-16
170,Rajasthan,4,3,0,2020-03-16
171,Tamil Nadu,1,0,0,2020-03-16
172,Telengana,3,1,0,2020-03-16
173,Jammu and Kashmir,3,0,0,2020-03-16
174,Ladakh,4,0,0,2020-03-16
175,Uttar Pradesh,13,4,0,2020-03-16
176,Uttarakhand,1,0,0,2020-03-16
177,Andhra Pradesh,1,0,0,2020-03-17
178,Delhi,8,2,1,2020-03-17
179,Haryana,15,0,0,2020-03-17
180,Karnataka,11,0,1,2020-03-17
181,Kerala,26,3,0,2020-03-17
182,Maharashtra,39,0,1,2020-03-17
183,Odisha,1,0,0,2020-03-17
184,Punjab,1,0,0,2020-03-17
185,Rajasthan,4,3,0,2020-03-17
186,Tamil Nadu,1,0,0,2020-03-17
187,Telengana,5,1,0,2020-03-17
188,Jammu and Kashmir,3,0,0,2020-03-17
189,Ladakh,6,0,0,2020-03-17
190,Uttar Pradesh,15,5,0,2020-03-17
191,Uttarakhand,1,0,0,2020-03-17
192,Andhra Pradesh,1,0,0,2020-03-18
193,Delhi,10,2,1,2020-03-18
194,Haryana,17,0,0,2020-03-18
195,Karnataka,11,0,1,2020-03-18
196,Kerala,27,3,0,2020-03-18
197,Maharashtra,42,0,1,2020-03-18
198,Odisha,1,0,0,2020-03-18
199,Puducherry,1,0,0,2020-03-18
200,Punjab,1,0,0,2020-03-18
201,Rajasthan,4,3,0,2020-03-18
202,Tamil Nadu,1,0,0,2020-03-18
203,Telengana,6,1,0,2020-03-18
204,Jammu and Kashmir,3,0,0,2020-03-18
205,Ladakh,8,0,0,2020-03-18
206,Uttar Pradesh,16,5,0,2020-03-18
207,Uttarakhand,1,0,0,2020-03-18
208,West Bengal,1,0,0,2020-03-18
209,Andhra Pradesh,2,0,0,2020-03-19
210,Chhattisgarh,1,0,0,2020-03-19
211,Delhi,12,3,1,2020-03-19
212,Haryana,17,0,0,2020-03-19
213,Karnataka,14,0,1,2020-03-19
214,Kerala,27,3,0,2020-03-19
215,Maharashtra,47,0,1,2020-03-19
216,Odisha,1,0,0,2020-03-19
217,Puducherry,1,0,0,2020-03-19
218,Punjab,2,0,1,2020-03-19
219,Rajasthan,7,3,0,2020-03-19
220,Tamil Nadu,2,1,0,2020-03-19
221,Telengana,6,1,0,2020-03-19
222,Chandigarh,1,0,0,2020-03-19
223,Jammu and Kashmir,4,0,0,2020-03-19
224,Ladakh,8,0,0,2020-03-19
225,Uttar Pradesh,19,9,0,2020-03-19
226,Uttarakhand,1,0,0,2020-03-19
227,West Bengal,1,0,0,2020-03-19
228,Andhra Pradesh,3,0,0,2020-03-20
229,Chhattisgarh,1,0,0,2020-03-20
230,Delhi,17,5,1,2020-03-20
231,Gujarat,5,0,0,2020-03-20
232,Haryana,17,0,0,2020-03-20
233,Karnataka,15,1,1,2020-03-20
234,Kerala,28,3,0,2020-03-20
235,Maharashtra,52,0,1,2020-03-20
236,Odisha,2,0,0,2020-03-20
237,Puducherry,1,0,0,2020-03-20
238,Punjab,2,0,1,2020-03-20
239,Rajasthan,17,3,0,2020-03-20
240,Tamil Nadu,3,1,0,2020-03-20
241,Telengana,17,1,0,2020-03-20
242,Chandigarh,1,0,0,2020-03-20
243,Jammu and Kashmir,4,0,0,2020-03-20
244,Ladakh,10,0,0,2020-03-20
245,Uttar Pradesh,23,9,0,2020-03-20
246,Uttarakhand,3,0,0,2020-03-20
